"symbol","entrez","entrez_mouse","symbol_mouse"
"ADAMTS7","11173","108153","Adamts7"
"ADAMTS8","11095","30806","Adamts8"
"ADAMTS9","56999","101401","Adamts9"
"ADAMTSL1","92949","77739","Adamtsl1"
"ADAMTSL2","9719","77794","Adamtsl2"
"ADAMTSL3","57188","269959","Adamtsl3"
"ADAMTSL4","54507","229595","Adamtsl4"
"ADAMTSL5","339366","66548","Adamtsl5"
"ADAP1","11033","231821","Adap1"
"ADAP2","55803","216991","Adap2"
"ADAR","103","56417","Adar"
"ADARB1","104","110532","Adarb1"
"ADARB2","105","94191","Adarb2"
"ADAT1","23536","30947","Adat1"
"ADAT2","134637","66757","Adat2"
"ADAT3","113179","100113398","Adat3"
"ADCK1","57143","72113","Adck1"
"ADCK2","90956","57869","Adck2"
"ADCK5","203054","268822","Adck5"
"ADCY1","107","432530","Adcy1"
"ADCY10","55811","271639","Adcy10"
"ADCY2","108","210044","Adcy2"
"ADCY3","109","104111","Adcy3"
"ADCY4","196883","104110","Adcy4"
"ADCY5","111","224129","Adcy5"
"ADCY6","112","11512","Adcy6"
"ADCY7","113","11513","Adcy7"
"ADCY8","114","11514","Adcy8"
"ADCY9","115","11515","Adcy9"
"ADCYAP1","116","11516","Adcyap1"
"ADCYAP1R1","117","11517","Adcyap1r1"
"ADD1","118","11518","Add1"
"ADD2","119","11519","Add2"
"ADD3","120","27360","Add3"
"ADGB","79747","215772","Adgb"
"ADGRA1","84435","52389","Adgra1"
"ADGRA2","25960","78560","Adgra2"
"ADGRA3","166647","70693","Adgra3"
"ADGRB1","575","107831","Adgrb1"
"ADGRB2","576","230775","Adgrb2"
"ADGRB3","577","210933","Adgrb3"
"ADGRD1","283383","243277","Adgrd1"
"ADGRE1","2015","13733","Adgre1"
"ADGRE5","976","26364","Adgre5"
"ADGRF1","266977","77596","Adgrf1"
"ADGRF2","222611","435529","Adgrf2"
"ADGRF3","165082","381628","Adgrf3"
"ADGRF4","221393","78249","Adgrf4"
"ADGRF5","221395","224792","Adgrf5"
"ADGRG1","9289","14766","Adgrg1"
"ADGRG2","10149","237175","Adgrg2"
"ADGRG3","222487","54672","Adgrg3"
"ADGRG4","139378","236798","Adgrg4"
"ADGRG5","221188","382045","Adgrg5"
"ADGRG6","57211","215798","Adgrg6"
"ADGRG7","84873","239853","Adgrg7"
"ADGRL1","22859","330814","Adgrl1"
"ADGRL2","23266","99633","Adgrl2"
"ADGRL3","23284","319387","Adgrl3"
"ADGRL4","64123","170757","Adgrl4"
"ADGRV1","84059","110789","Adgrv1"
"ADH4","127","26876","Adh4"
"ADH5","128","11532","Adh5"
"ADH6","130","100417514","Adh6b"
"ADH7","131","11529","Adh7"
"ADHFE1","137872","76187","Adhfe1"
"ADI1","55256","104923","Adi1"
"ADIG","149685","246747","Adig"
"ADIPOQ","9370","11450","Adipoq"
"ADIPOR1","51094","72674","Adipor1"
"ADIPOR2","79602","68465","Adipor2"
"ADK","132","11534","Adk"
"ADM","133","11535","Adm"
"ADM2","79924","223780","Adm2"
"ADNP","23394","11538","Adnp"
"ADNP2","22850","240442","Adnp2"
"ADO","84890","211488","Ado"
"ADORA1","134","11539","Adora1"
"ADORA2A","135","11540","Adora2a"
"ADORA2B","136","11541","Adora2b"
"ADPGK","83440","72141","Adpgk"
"ADPRH","141","11544","Adprh"
"ADPRHL1","113622","234072","Adprhl1"
"ADPRM","56985","66358","Adprm"
"ADPRS","54936","100206","Adprs"
"ADRA1A","148","11549","Adra1a"
"ADRA1B","147","11548","Adra1b"
"ADRA1D","146","11550","Adra1d"
"ADRA2A","150","11551","Adra2a"
"ADRA2B","151","11552","Adra2b"
"ADRA2C","152","11553","Adra2c"
"ADRB1","153","11554","Adrb1"
"ADRB2","154","11555","Adrb2"
"ADRB3","155","11556","Adrb3"
"ADRM1","11047","56436","Adrm1"
"ADSL","158","11564","Adsl"
"ADSS1","122622","11565","Adssl1"
"ADSS2","159","11566","Adss"
"ADTRP","84830","109254","Adtrp"
"AEBP1","165","11568","Aebp1"
"AEBP2","121536","11569","Aebp2"
"AEN","64782","68048","Aen"
"AFAP1","60312","70292","Afap1"
"AFAP1L1","134265","106877","Afap1l1"
"AFAP1L2","84632","226250","Afap1l2"
"AFDN","4301","17356","Afdn"
"AFF1","4299","17355","Aff1"
"AFF2","2334","14266","Aff2"
"AFF3","3899","16764","Aff3"
"AFF4","27125","93736","Aff4"
"AFG1L","246269","215951","Afg1l"
"AFG3L2","10939","69597","Afg3l2"
"AFM","173","280662","Afm"
"AFMID","125061","71562","Afmid"
"AFP","174","11576","Afp"
"AFTPH","54812","216549","Aftph"
"AGA","175","11593","Aga"
"AGAP1","116987","347722","Agap1"
"AGAP2","116986","216439","Agap2"
"AGAP3","116988","213990","Agap3"
"AGBL1","123624","244071","Agbl1"
"AGBL2","79841","271813","Agbl2"
"AGBL3","340351","76223","Agbl3"
"AGBL4","84871","78933","Agbl4"
"AGBL5","60509","231093","Agbl5"
"AGER","177","11596","Ager"
"AGFG1","3267","15463","Agfg1"
"AGFG2","3268","231801","Agfg2"
"AGGF1","55109","66549","Aggf1"
"AGK","55750","69923","Agk"
"AGL","178","77559","Agl"
"AGMAT","79814","75986","Agmat"
"AGMO","392636","319660","Agmo"
"AGO1","26523","236511","Ago1"
"AGO2","27161","239528","Ago2"
"AGO3","192669","214150","Ago3"
"AGO4","192670","76850","Ago4"
"AGPAT1","10554","55979","Agpat1"
"AGPAT2","10555","67512","Agpat2"
"AGPAT3","56894","28169","Agpat3"
"AGPAT4","56895","68262","Agpat4"
"AGPAT5","55326","52123","Agpat5"
"AGPS","8540","228061","Agps"
"AGR2","10551","23795","Agr2"
"AGR3","155465","403205","Agr3"
"AGRN","375790","11603","Agrn"
"AGRP","181","11604","Agrp"
"AGT","183","11606","Agt"
"AGTR1","185","11607","Agtr1a"
"AGTR1","185","11608","Agtr1b"
"AGTR2","186","11609","Agtr2"
"AGTRAP","57085","11610","Agtrap"
"AGXT","189","11611","Agxt"
"AGXT2","64902","268782","Agxt2"
"AHCTF1","25909","226747","Ahctf1"
"AHCY","191","269378","Ahcy"
"AHCY","191","11615","Gm4737"
"AHCYL1","10768","229709","Ahcyl1"
"AHCYL2","23382","74340","Ahcyl2"
"AHDC1","27245","230793","Ahdc1"
"AHI1","54806","52906","Ahi1"
"AHNAK","79026","66395","Ahnak"
"AHNAK2","113146","100041194","Ahnak2"
"AHR","196","11622","Ahr"
"AHRR","57491","11624","Ahrr"
"AHSA1","10598","217737","Ahsa1"
"AHSG","197","11625","Ahsg"
"AICDA","57379","11628","Aicda"
"AIDA","64853","108909","Aida"
"AIF1","199","11629","Aif1"
"AIF1L","83543","108897","Aif1l"
"AIFM1","9131","26926","Aifm1"
"AIFM2","84883","71361","Aifm2"
"AIFM3","150209","72168","Aifm3"
"AIG1","51390","66253","Aig1"
"AIM2","9447","383619","Aim2"
"AIMP1","9255","13722","Aimp1"
"AIMP2","7965","231872","Aimp2"
"AIP","9049","11632","Aip"
"AIPL1","23746","114230","Aipl1"
"AIRE","326","11634","Aire"
"AJAP1","55966","230959","Ajap1"
"AJM1","389813","381353","Ajm1"
"AJUBA","84962","16475","Ajuba"
"AK1","203","11636","Ak1"
"AK2","204","11637","Ak2"
"AK3","50808","56248","Ak3"
"AK4","205","11639","Ak4"
"AK5","26289","229949","Ak5"
"AK6","102157402","102216272","Ak6"
"AK7","122481","78801","Ak7"
"AK8","158067","68870","Ak8"
"AK9","221264","633979","Ak9"
"AKAIN1","642597","320722","Akain1"
"AKAP1","8165","11640","Akap1"
"AKAP10","11216","56697","Akap10"
"AKAP11","11215","219181","Akap11"
"AKAP12","9590","83397","Akap12"
"AKAP13","11214","75547","Akap13"
"AKAP14","158798","434756","Akap14"
"AKAP3","10566","11642","Akap3"
"AKAP4","8852","11643","Akap4"
"AKAP5","9495","238276","Akap5"
"AKAP6","9472","238161","Akap6"
"AKAP7","9465","432442","Akap7"
"AKAP8","10270","56399","Akap8"
"AKAP8L","26993","54194","Akap8l"
"AKAP9","10142","100986","Akap9"
"AKIP1","56672","57373","Akip1"
"AKIRIN1","79647","68050","Akirin1"
"AKIRIN2","55122","433693","Akirin2"
"AKNA","80709","100182","Akna"
"AKNAD1","254268","329738","Aknad1"
"AKR1A1","10327","58810","Akr1a1"
"AKR1B1","231","11677","Akr1b3"
"AKR1B10","57016","67861","Akr1b10"
"AKR1B10","57016","14187","Akr1b8"
"AKR1B10","57016","11997","Akr1b7"
"AKR1C1","1645","77337","Akr1c21"
"AKR1C3","8644","105349","Akr1c18"
"AKR1C4","1109","83702","Akr1c6"
"AKR1D1","6718","208665","Akr1d1"
"AKR1E2","83592","56043","Akr1e1"
"AKR7A2","8574","110198","Akr7a5"
"AKT1","207","11651","Akt1"
"AKT1S1","84335","67605","Akt1s1"
"AKT2","208","11652","Akt2"
"AKT3","10000","23797","Akt3"
"AKTIP","64400","14339","Aktip"
"ALAD","210","17025","Alad"
"ALAS1","211","11655","Alas1"
"ALAS2","212","11656","Alas2"
"ALB","213","11657","Alb"
"ALCAM","214","11658","Alcam"
"ALDH16A1","126133","69748","Aldh16a1"
"ALDH18A1","5832","56454","Aldh18a1"
"ALDH1A1","216","26358","Aldh1a7"
"ALDH1A2","8854","19378","Aldh1a2"
"ALDH1A3","220","56847","Aldh1a3"
"ALDH1B1","219","72535","Aldh1b1"
"ALDH1L1","10840","107747","Aldh1l1"
"ALDH1L2","160428","216188","Aldh1l2"
"ALDH2","217","11669","Aldh2"
"ALDH3A1","218","11670","Aldh3a1"
"ALDH3A2","224","11671","Aldh3a2"
"ALDH3B1","221","67689","Aldh3b1"
"ALDH3B2","222","621603","Aldh3b2"
"ALDH3B2","222","73458","Aldh3b3"
"ALDH4A1","8659","212647","Aldh4a1"
"ALDH5A1","7915","214579","Aldh5a1"
"ALDH6A1","4329","104776","Aldh6a1"
"ALDH7A1","501","110695","Aldh7a1"
"ALDH8A1","64577","237320","Aldh8a1"
"ALDH9A1","223","56752","Aldh9a1"
"ALDOA","226","11674","Aldoa"
"ALDOA","226","79459","Aldoart2"
"ALDOA","226","353204","Aldoart1"
"ALDOB","229","230163","Aldob"
"ALDOC","230","11676","Aldoc"
"ALG11","440138","207958","Alg11"
"ALG12","79087","223774","Alg12"
"ALG13","79868","67574","Alg13"
"ALG14","199857","66789","Alg14"
"ALG2","85365","56737","Alg2"
"ALG3","10195","208624","Alg3"
"ALG5","29880","66248","Alg5"
"ALG6","29929","320438","Alg6"
"ALG8","79053","381903","Alg8"
"ALG9","79796","102580","Alg9"
"ALK","238","11682","Alk"
"ALKAL1","389658","620393","Alkal1"
"ALKAL2","285016","100294583","Alkal2"
"ALKBH2","121642","231642","Alkbh2"
"ALKBH3","221120","69113","Alkbh3"
"ALKBH4","54784","72041","Alkbh4"
"ALKBH5","54890","268420","Alkbh5"
"ALKBH6","84964","233065","Alkbh6"
"ALKBH7","84266","66400","Alkbh7"
"ALKBH8","91801","67667","Alkbh8"
"ALLC","55821","94041","Allc"
"ALMS1","7840","236266","Alms1"
"ALOX12","239","11684","Alox12"
"ALOX12B","242","11686","Alox12b"
"ALOX15","246","11687","Alox15"
"ALOX15B","247","11688","Alox8"
"ALOX5","240","11689","Alox5"
"ALOX5AP","241","11690","Alox5ap"
"ALOXE3","59344","23801","Aloxe3"
"ALPK1","80216","71481","Alpk1"
"ALPK2","115701","225638","Alpk2"
"ALPK3","57538","116904","Alpk3"
"ALPL","249","11647","Alpl"
"ALS2","57679","74018","Als2"
"ALS2CL","259173","235633","Als2cl"
"ALX1","8092","216285","Alx1"
"ALX3","257","11694","Alx3"
"ALX4","60529","11695","Alx4"
"ALYREF","10189","21681","Alyref"
"ALYREF","10189","100043239","Gm4307"
"ALYREF","10189","100043224","Gm4301"
"ALYREF","10189","100043231","Gm4303"
"ALYREF","10189","100861891","Gm21304"
"ALYREF","10189","100043227","Gm4302"
"ALYREF","10189","637578","Gm20765"
"ALYREF","10189","667692","Gm8764"
"ALYREF","10189","100861880","Gm21293"
"ALYREF","10189","100861901","Gm21312"
"ALYREF","10189","56009","Alyref2"
"ALYREF","10189","100043292","Gm4340"
"ALYREF","10189","100043235","Gm4305"
"ALYREF","10189","100043247","Gm4312"
"ALYREF","10189","627488","Gm6763"
"AMACR","23600","17117","Amacr"
"AMBN","258","11698","Ambn"
"AMBP","259","11699","Ambp"
"AMBRA1","55626","228361","Ambra1"
"AMD1","262","11702","Amd1"
"AMD1","262","100041585","Amd2"
"AMDHD1","144193","71761","Amdhd1"
"AMDHD2","51005","245847","Amdhd2"
"AMER1","139285","72345","Amer1"
"AMER2","219287","72125","Amer2"
"AMER3","205147","211383","Amer3"
"AMFR","267","23802","Amfr"
"AMH","268","11705","Amh"
"AMHR2","269","110542","Amhr2"
"AMIGO1","57463","229715","Amigo1"
"AMIGO2","347902","105827","Amigo2"
"AMIGO3","386724","320844","Amigo3"
"AMMECR1","9949","56068","Ammecr1"
"AMMECR1L","83607","225339","Ammecr1l"
"AMN","81693","93835","Amn"
"AMN1","196394","232566","Amn1"
"AMOT","154796","27494","Amot"
"AMOTL1","154810","75723","Amotl1"
"AMOTL2","51421","56332","Amotl2"
"AMPD1","270","229665","Ampd1"
"AMPD2","271","109674","Ampd2"
"AMPD3","272","11717","Ampd3"
"AMPH","273","218038","Amph"
"AMT","275","434437","Amt"
"AMTN","401138","71421","Amtn"
"AMY2A","279","11722","Amy1"
"AMY2B","280","109959","Amy2a5"
"AMY2B","280","100043684","Amy2a4"
"AMY2B","280","100043686","Amy2a3"
"AMY2B","280","100043688","Amy2a2"
"AMZ1","155185","231842","Amz1"
"AMZ2","51321","13929","Amz2"
"ANAPC1","64682","17222","Anapc1"
"ANAPC10","10393","68999","Anapc10"
"ANAPC11","51529","66156","Anapc11"
"ANAPC13","25847","69010","Anapc13"
"ANAPC16","119504","52717","Anapc16"
"ANAPC2","29882","99152","Anapc2"
"ANAPC4","29945","52206","Anapc4"
"ANAPC5","51433","59008","Anapc5"
"ANAPC7","51434","56317","Anapc7"
"ANG","283","11727","Ang"
"ANG","283","219033","Ang4"
"ANG","283","11731","Ang2"
"ANG","283","630952","Ang6"
"ANGEL1","23357","68737","Angel1"
"ANGEL2","90806","52477","Angel2"
"ANGPT1","284","11600","Angpt1"
"ANGPT2","285","11601","Angpt2"
"ANGPT4","51378","11602","Angpt4"
"ANGPTL1","9068","72713","Angptl1"
"ANGPTL2","23452","26360","Angptl2"
"ANGPTL3","27329","30924","Angptl3"
"ANGPTL4","51129","57875","Angptl4"
"ANGPTL6","83854","70726","Angptl6"
"ANGPTL7","10218","654812","Angptl7"
"ANGPTL8","55908","624219","Angptl8"
"ANK1","286","11733","Ank1"
"ANK2","287","109676","Ank2"
"ANK3","288","11735","Ank3"
"ANKAR","150709","319695","Ankar"
"ANKDD1A","348094","330963","Ankdd1a"
"ANKDD1B","728780","271144","Ankdd1b"
"ANKEF1","63926","319196","Ankef1"
"ANKFN1","162282","382543","Ankfn1"
"ANKFY1","51479","11736","Ankfy1"
"ANKH","56172","11732","Ank"
"ANKIB1","54467","70797","Ankib1"
"ANKK1","255239","244859","Ankk1"
"ANKLE1","126549","234396","Ankle1"
"ANKLE2","23141","71782","Ankle2"
"ANKMY1","51281","241158","Ankmy1"
"ANKMY2","57037","217473","Ankmy2"
"ANKRA2","57763","68558","Ankra2"
"ANKRD1","27063","107765","Ankrd1"
"ANKRD10","55608","102334","Ankrd10"
"ANKRD11","29123","77087","Ankrd11"
"ANKRD12","23253","106585","Ankrd12"
"ANKRD13A","88455","68420","Ankrd13a"
"ANKRD13B","124930","268445","Ankrd13b"
"ANKRD13C","81573","433667","Ankrd13c"
"ANKRD13D","338692","68423","Ankrd13d"
"ANKRD16","54522","320816","Ankrd16"
"ANKRD17","26057","81702","Ankrd17"
"ANKRD2","26287","56642","Ankrd2"
"ANKRD22","118932","52024","Ankrd22"
"ANKRD23","200539","78321","Ankrd23"
"ANKRD24","170961","70615","Ankrd24"
"ANKRD26","22852","232339","Ankrd26"
"ANKRD27","84079","245886","Ankrd27"
"ANKRD28","23243","105522","Ankrd28"
"ANKRD29","147463","225187","Ankrd29"
"ANKRD31","256006","625662","Ankrd31"
"ANKRD33","341405","208258","Ankrd33"
"ANKRD33B","651746","67434","Ankrd33b"
"ANKRD34A","284615","545554","Ankrd34a"
"ANKRD34B","340120","218440","Ankrd34b"
"ANKRD34C","390616","330998","Ankrd34c"
"ANKRD35","148741","213121","Ankrd35"
"ANKRD37","353322","654824","Ankrd37"
"ANKRD39","51239","109346","Ankrd39"
"ANKRD40","91369","71452","Ankrd40"
"ANKRD40CL","55018","102639132","Gm21885"
"ANKRD42","338699","73845","Ankrd42"
"ANKRD44","91526","329154","Ankrd44"
"ANKRD45","339416","73844","Ankrd45"
"ANKRD46","157567","68839","Ankrd46"
